date,zone_id,slot_idx,slot_name,r_ref_zt,x_uniform,x_nominal,x_static,x_dynamic,s_uniform,s_nominal,s_static,s_dynamic
2024-12-28,1,0,Mon_Day,0.13471258985239873,1,1,1,2,0.125,0.125,0.125,0.25
2024-12-28,1,1,Mon_Eve,0.18710488890882473,1,2,1,1,0.125,0.25,0.125,0.125
2024-12-28,1,2,Mon_Ngt,0.46297545241050053,1,3,1,1,0.125,0.375,0.125,0.125
2024-12-28,1,3,Tue_Day,0.09778023063447293,1,1,1,0,0.125,0.125,0.125,0.0
2024-12-28,1,4,Tue_Eve,0.07491442726892163,1,1,1,0,0.125,0.125,0.125,0.0
2024-12-28,1,5,Tue_Ngt,0.03035992540880395,1,1,0,1,0.125,0.125,0.0,0.125
2024-12-28,1,6,Wed_Day,0.07726323271669795,1,1,1,0,0.125,0.125,0.125,0.0
2024-12-28,1,7,Wed_Eve,0.14671673645134806,1,1,3,0,0.125,0.125,0.375,0.0
2024-12-28,1,8,Wed_Ngt,0.03140689118342378,1,0,1,0,0.125,0.0,0.125,0.0
2024-12-28,1,9,Thu_Day,0.2665648238341624,1,2,3,0,0.125,0.25,0.375,0.0
2024-12-28,1,10,Thu_Eve,0.14440969583601249,1,1,1,0,0.125,0.125,0.125,0.0
2024-12-28,1,11,Thu_Ngt,0.06533124241796612,1,0,0,1,0.125,0.0,0.0,0.125
2024-12-28,1,12,Fri_Day,0.27426551813586464,1,2,2,3,0.125,0.25,0.25,0.375
2024-12-28,1,13,Fri_Eve,0.1576503230045519,1,1,1,1,0.125,0.125,0.125,0.125
2024-12-28,1,14,Fri_Ngt,0.09724458067309943,1,1,3,1,0.125,0.125,0.375,0.125
2024-12-28,1,15,Sat_Day,0.17186310341586733,1,1,5,0,0.125,0.125,0.625,0.0
2024-12-28,1,16,Sat_Eve,0.16891293053390788,1,2,3,1,0.125,0.25,0.375,0.125
2024-12-28,1,17,Sat_Ngt,0.055480256275364015,1,1,3,1,0.125,0.125,0.375,0.125
2024-12-28,1,18,Sun_Day,0.15892681239029838,1,1,1,0,0.125,0.125,0.125,0.0
2024-12-28,1,19,Sun_Eve,0.21185520688074977,1,2,1,2,0.125,0.25,0.125,0.25
2024-12-28,1,20,Sun_Ngt,0.4545603626606229,1,4,1,0,0.125,0.5,0.125,0.0
2024-12-28,2,0,Mon_Day,0.07941594590099577,1,1,0,1,0.125,0.125,0.0,0.125
